,Q1Income,Q1Foodaway,Q1Cereal,Q1Foodhome,Q2Income,Q2Foodaway,Q2Cereal,Q2Foodhome,Q3Income,Q3Foodaway,Q3Cereal,Q3Foodhome,Q4Income,Q4Foodaway,Q4Cereal,Q4Foodhome,Q5Income,Q5Foodaway,Q5Cereal,Q5Foodhome,Year,State
Year,12175.62,28.59,3.36,102.68,34442.17,44.2,1.4,50.43,61265.42,43.48,2.1,99.39,95196.21,54.94,4.28,135.56,207921.0,173.35,8.6,171.82,2014,Colorado
Year,10432.98,40.7,3.39,73.26,35479.83,45.0,2.65,72.33,62069.25,65.63,3.99,95.54,98911.7,84.25,3.78,101.62,193915.17,128.46,3.03,107.38,2014,California
Year,,,,,,,,,,,,,,,,,,,,,2014,Arkansas
Year,12750.74,26.23,2.33,61.58,34176.3,38.02,2.47,63.25,58897.54,49.6,3.04,78.72,103074.78,65.5,3.77,108.21,202959.38,187.02,0.52,101.91,2014,Arizona
Year,11178.96,34.9,1.48,73.62,35277.04,54.96,1.41,98.34,62621.82,72.63,10.2,148.01,98059.56,61.21,3.54,164.32,185130.17,61.55,6.84,205.7,2014,Alaska
Year,9395.24,17.64,2.66,33.59,33205.32,29.93,1.62,62.19,64072.18,29.8,2.85,58.96,99953.61,47.79,3.58,80.68,195108.72,187.68,3.89,147.48,2014,Alabama
Year,10821.2,22.25,3.11,56.62,33746.78,25.0,2.08,64.47,61274.64,51.96,2.63,73.11,93332.92,51.78,4.09,94.18,175415.71,85.28,6.05,124.74,2013,Wisconsin
Year,11392.19,63.4,2.31,70.87,37046.71,45.29,4.06,88.56,64131.96,51.62,5.61,105.02,100190.38,100.26,4.43,136.7,248899.74,131.02,9.11,162.19,2013,Washington
Year,12841.45,26.8,2.69,49.55,36667.15,31.52,2.95,71.38,60268.12,81.08,2.61,76.92,100305.12,75.13,5.0,104.68,171449.84,104.83,4.38,136.33,2013,Virginia
Year,8818.6,37.27,4.07,51.53,35234.59,45.0,2.9,83.55,66871.26,40.47,5.62,112.14,98977.82,50.59,4.01,114.22,199461.9,0.0,2.57,117.65,2013,Utah
Year,11127.69,34.08,2.46,51.93,34872.76,53.3,3.51,71.14,60271.3,69.94,3.18,82.52,97459.14,87.23,4.45,88.78,177523.11,111.75,2.67,103.19,2013,Texas
Year,12994.95,16.55,1.46,42.08,33753.22,46.83,1.63,78.19,61389.99,63.72,5.07,139.2,89289.92,75.74,6.3,102.98,179088.72,87.08,9.96,199.21,2013,Tennessee
Year,,,,,,,,,,,,,,,,,,,,,2013,South Dakota
Year,13247.52,31.7,4.24,77.77,34852.49,47.78,4.21,78.37,60824.41,62.52,6.62,94.63,95845.01,95.27,3.08,90.62,176839.46,108.7,7.31,94.8,2013,South Carolina
Year,,,,,,,,,,,,,,,,,,,,,2013,Rhode Island
Year,12172.78,17.5,2.75,57.69,35635.96,43.69,3.63,69.31,60082.6,45.31,3.68,87.41,97998.28,64.12,4.88,108.89,184551.36,108.07,6.42,127.12,2013,Pennsylvania
Year,13195.56,14.33,2.22,77.27,34640.83,19.26,4.59,73.26,62083.16,51.43,2.61,97.31,100956.94,78.53,3.97,102.36,168550.95,134.22,5.14,129.03,2013,Oregon
Year,,,,,,,,,,,,,,,,,,,,,2013,Oklahoma
Year,13342.6,27.78,3.15,67.45,34375.24,39.44,6.5,101.89,60969.15,52.84,5.69,109.82,98868.9,71.85,4.47,91.87,196096.05,104.09,4.09,141.59,2013,Ohio
Year,,,,,,,,,,,,,,,,,,,,,2013,North Carolina
Year,10184.57,28.46,3.18,50.45,34956.08,43.41,4.24,67.04,62317.04,48.14,3.54,82.45,93309.53,60.49,7.04,114.08,200234.71,95.07,5.21,149.46,2013,New York
Year,12231.52,37.06,1.97,56.1,34604.48,40.62,4.89,72.54,60125.9,60.57,6.93,108.84,99973.29,71.42,4.12,151.45,191367.01,120.43,7.51,126.84,2013,New Jersey
Year,12725.02,51.35,2.69,74.99,29386.0,16.28,0.0,185.46,69123.95,71.12,2.84,81.06,95384.5,143.53,0.56,108.02,135750.0,118.16,4.66,120.24,2013,New Hampshire
Year,9995.52,70.85,3.26,66.52,36702.73,55.83,3.31,126.69,55997.6,61.14,3.69,70.59,102999.16,77.05,0.47,51.89,163820.63,240.92,7.57,128.87,2013,Nevada
Year,7483.18,25.68,7.12,56.69,32924.72,47.38,2.55,53.22,63449.09,79.34,6.48,110.43,94707.76,62.15,4.71,100.69,206480.42,64.88,3.18,57.54,2013,Nebraska
Year,,,,,,,,,,,,,,,,,,,,,2013,Montana
Year,13022.55,21.23,1.94,52.41,33688.56,18.02,4.31,72.73,59199.84,54.96,7.39,92.01,93442.64,159.16,3.4,79.77,200153.97,112.68,6.32,118.21,2013,Missouri
Year,,,,,,,,,,,,,,,,,,,,,2013,Mississippi
Year,11598.44,26.19,5.19,58.51,37119.77,44.8,3.33,89.21,61322.68,66.04,2.4,68.78,97919.75,55.14,1.17,54.38,226884.1,155.26,10.43,183.1,2013,Minnesota
Year,11540.26,17.38,3.86,72.78,33852.85,27.8,4.87,112.19,63572.45,48.95,4.69,132.23,96704.28,63.35,4.42,115.3,169284.34,96.36,9.52,238.25,2013,Michigan
Year,10733.12,39.12,4.03,67.8,34634.6,37.03,5.5,134.92,59712.48,41.45,8.63,123.54,93942.44,112.03,7.29,159.19,196687.2,70.8,7.71,200.21,2013,Massachuse
Year,14150.55,16.1,4.49,89.73,35107.27,55.85,1.32,49.42,59932.9,59.78,3.66,56.34,103956.37,73.02,1.69,71.9,170100.64,131.84,11.58,140.34,2013,Maryland
Year,11994.5,21.22,2.53,49.75,31758.45,29.01,2.08,94.38,60442.91,28.14,5.18,79.92,102750.0,72.17,4.1,112.04,,,,,2013,Maine
Year,11009.07,13.59,1.65,53.62,32367.23,22.02,3.1,48.69,61191.55,56.55,3.18,67.93,102105.31,52.4,6.42,109.58,182548.38,112.12,4.2,93.83,2013,Louisiana
Year,11780.19,30.91,2.28,61.68,34931.21,45.87,5.43,86.19,60977.24,54.89,4.44,124.12,98700.75,68.89,1.6,93.86,202137.62,62.03,6.76,149.73,2013,Kentucky
Year,13871.8,12.66,10.27,136.62,34601.43,39.78,1.29,30.62,58534.86,96.38,3.3,100.91,109027.88,87.38,6.51,132.24,208461.9,218.84,11.51,168.11,2013,Kansas
Year,,,,,,,,,,,,,,,,,,,,,2013,Iowa
Year,13048.98,41.38,4.17,106.65,33374.3,26.34,4.52,73.15,60870.69,44.8,4.37,118.96,91517.96,46.2,4.91,105.38,161554.87,110.72,0.71,119.28,2013,Indiana
Year,11195.85,15.85,2.93,60.73,35420.32,42.73,3.82,104.16,61739.43,48.69,6.39,115.05,96454.95,57.23,7.38,135.04,197258.05,104.19,6.19,138.08,2013,Illinois
Year,11150.0,22.65,3.32,88.73,34748.26,94.42,1.37,83.33,60248.87,23.49,6.96,90.25,88113.83,79.49,5.34,134.68,157277.98,63.88,7.34,189.24,2013,Idaho
Year,13520.03,40.51,3.2,76.02,33862.92,51.89,3.58,82.66,59707.9,67.62,1.67,90.44,98988.86,155.51,4.65,99.42,170053.43,139.91,10.14,170.26,2013,Hawaii
Year,11619.95,18.68,2.14,49.13,34585.83,41.52,3.71,77.39,58878.45,37.84,2.45,70.75,97159.82,48.7,5.25,107.77,187907.78,111.36,4.87,133.48,2013,Georgia
Year,12637.99,21.42,2.8,59.93,35047.68,40.96,3.73,70.31,60084.66,62.36,4.79,103.26,92485.53,85.99,4.15,93.69,171374.96,98.88,5.77,134.49,2013,Florida
Year,7752.5,23.46,1.68,18.72,28500.0,60.6,5.42,182.93,70000.0,117.08,0.0,34.03,83702.93,84.69,2.96,123.7,,,,,2013,District of Columbia
Year,12121.82,30.45,5.94,135.74,32750.87,20.84,4.47,75.83,71880.5,33.94,0.0,233.3,98000.0,63.34,19.76,147.85,165926.17,92.25,14.32,163.55,2013,Delaware
Year,8198.35,34.04,4.09,67.88,34174.02,36.57,5.27,63.57,62221.54,68.34,7.35,116.96,99708.46,79.6,9.8,166.25,210107.02,79.64,8.86,203.35,2013,Connecticut
Year,14178.72,45.32,4.37,57.21,35551.67,195.8,2.87,79.58,58663.44,79.77,7.42,69.01,97442.16,40.8,3.04,84.16,163550.3,158.81,4.54,121.06,2013,Colorado
Year,11057.57,27.61,3.68,71.82,35483.74,51.35,4.68,89.98,60789.53,64.57,3.61,81.35,97357.44,92.82,4.95,102.66,193039.25,120.08,4.82,130.59,2013,California
Year,,,,,,,,,,,,,,,,,,,,,2013,Arkansas
Year,13653.31,23.15,1.51,62.08,33460.68,34.0,4.52,71.23,59940.75,77.75,2.54,84.59,99066.4,86.2,6.31,116.11,184521.08,58.62,7.95,222.4,2013,Arizona
Year,11528.12,25.65,1.49,73.84,37581.66,65.6,4.87,85.08,63310.73,68.89,2.27,70.98,96786.49,105.34,5.36,130.51,189158.29,73.6,6.85,134.24,2013,Alaska
Year,13612.72,22.72,5.16,98.99,33264.14,30.94,3.98,99.18,60407.33,22.78,1.56,54.3,92103.05,89.84,2.38,53.27,177639.47,90.86,5.53,122.35,2013,Alabama
Year,10432.35,29.78,1.87,41.26,34974.08,31.8,2.95,85.34,56629.79,52.82,3.69,79.8,96836.22,58.13,5.13,119.46,203891.31,80.58,6.7,143.34,2012,Wisconsin
Year,9617.37,31.69,1.3,49.39,33924.93,34.24,9.55,126.78,59954.14,48.06,6.35,136.38,99023.81,93.37,8.34,184.34,191793.89,63.05,4.59,136.54,2012,Washington
Year,12271.74,15.55,2.34,33.47,33488.25,35.24,3.59,77.54,59748.9,57.0,3.61,86.24,98478.57,88.28,5.7,129.29,196475.12,114.79,4.55,144.12,2012,Virginia
Year,11386.82,32.2,1.42,45.81,34255.14,26.08,5.52,76.91,59295.92,71.23,8.37,115.08,98883.56,55.56,10.95,137.71,182485.22,130.06,6.17,184.02,2012,Utah
Year,11348.68,29.4,2.45,59.43,34552.44,53.78,3.69,83.67,60140.41,62.94,5.23,99.26,97139.59,96.84,4.58,97.24,190317.87,109.1,3.68,126.68,2012,Texas
Year,12839.31,9.85,2.51,35.95,32916.53,23.63,1.19,37.58,61633.62,79.55,2.58,51.1,91755.54,102.0,7.26,144.64,215924.62,75.16,12.0,149.51,2012,Tennessee
Year,,,,,,,,,,,,,,,,,,,,,2012,South Dakota
Year,11568.17,20.18,3.37,56.54,33807.36,27.87,3.54,77.4,59930.57,42.43,3.9,85.77,94522.3,61.54,4.35,84.79,182099.2,109.55,10.01,167.75,2012,South Carolina
Year,,,,,,,,,,,,,,,,,,,,,2012,Rhode Island
Year,12581.96,31.02,3.06,59.25,33812.47,49.28,3.69,75.64,58521.51,45.47,3.97,80.18,94421.44,72.22,4.19,116.56,190088.9,104.04,6.26,126.21,2012,Pennsylvania
Year,10148.45,38.65,2.74,76.55,33468.32,36.18,4.92,78.15,58545.97,37.15,6.36,120.12,99807.34,73.44,5.16,143.58,151983.11,48.93,7.41,152.78,2012,Oregon
Year,,,,,,,,,,,,,,,,,,,,,2012,Oklahoma
Year,11750.85,22.66,2.75,47.22,33835.37,48.99,3.79,87.85,59313.52,52.73,4.07,77.95,99234.25,60.84,3.86,91.77,195397.5,136.65,4.64,127.64,2012,Ohio
Year,,,,,,,,,,,,,,,,,,,,,2012,North Carolina
Year,10812.53,27.72,2.92,48.81,34149.38,33.63,4.6,72.5,59614.77,69.09,3.54,66.19,97112.02,76.97,4.8,113.35,207851.11,126.93,6.29,147.9,2012,New York
Year,10832.79,19.62,2.7,56.63,34240.63,37.74,2.68,96.73,58230.91,64.22,4.95,86.82,99513.74,84.6,3.99,98.34,184128.69,137.13,8.09,150.06,2012,New Jersey
Year,13135.97,105.05,1.34,62.1,36863.4,122.75,2.25,37.86,53763.9,37.61,1.49,110.67,95158.0,25.83,3.3,109.32,171812.8,153.5,12.78,144.53,2012,New Hampshire
Year,8636.69,34.01,2.38,82.19,36467.84,31.07,4.51,55.34,55139.26,58.4,5.16,94.85,105227.36,91.18,5.04,102.04,138859.87,59.26,12.06,110.69,2012,Nevada
Year,10222.14,31.26,1.52,55.47,31287.16,16.55,2.77,51.59,57201.0,72.75,1.03,76.57,92281.72,85.56,4.19,62.58,201036.0,174.09,4.84,70.18,2012,Nebraska
Year,,,,,,,,,,,,,,,,,,,,,2012,Montana
Year,11036.73,12.0,3.58,51.29,34501.95,45.23,3.33,68.78,60233.67,49.41,3.07,73.56,94234.72,53.91,5.37,143.85,190130.85,47.78,4.51,93.45,2012,Missouri
Year,,,,,,,,,,,,,,,,,,,,,2012,Mississippi
Year,14305.85,23.07,1.23,40.73,33284.5,40.35,5.77,80.85,62460.26,68.26,2.07,95.81,99962.36,77.89,4.67,122.2,186998.58,92.27,6.79,164.92,2012,Minnesota
Year,11653.22,22.64,4.01,85.8,33815.77,30.44,4.02,72.91,59474.68,38.39,4.24,83.06,96729.05,54.61,5.62,111.8,169041.17,96.73,6.31,107.5,2012,Michigan
Year,10660.67,18.19,2.93,78.19,33891.15,42.97,5.41,117.64,64417.1,55.51,5.81,126.7,103716.14,76.92,10.66,183.34,180702.04,99.98,6.49,178.6,2012,Massachuse
Year,9037.64,35.13,1.75,49.96,33175.76,25.23,2.84,63.0,61866.16,70.66,4.33,69.38,94952.11,57.88,7.09,106.44,205441.6,98.93,6.13,128.91,2012,Maryland
Year,12822.56,15.99,2.41,59.55,34854.89,34.4,4.94,74.6,61403.13,27.19,6.83,104.88,101107.55,66.31,4.89,85.78,151380.6,134.69,1.76,149.82,2012,Maine
Year,10085.78,14.94,2.29,45.95,33134.53,52.29,3.24,75.33,58444.49,43.99,2.81,89.08,99690.71,88.52,5.05,99.59,157918.09,93.12,3.83,83.52,2012,Louisiana
Year,9893.9,29.83,3.5,63.96,35382.56,40.8,3.46,59.8,62416.7,71.79,4.43,90.14,95155.83,47.17,2.79,42.74,172586.16,52.2,2.62,52.73,2012,Kentucky
Year,12655.0,181.39,1.39,98.63,33387.84,38.85,2.94,76.86,60570.88,91.48,9.13,114.45,95438.45,55.14,0.0,42.63,176343.32,167.8,6.74,220.55,2012,Kansas
Year,,,,,,,,,,,,,,,,,,,,,2012,Iowa
Year,12738.09,26.67,3.32,59.01,33230.14,37.97,4.56,72.43,60903.72,54.28,4.85,92.35,98870.2,115.65,15.37,212.37,201156.77,65.04,3.49,95.47,2012,Indiana
Year,11144.38,25.13,2.27,57.23,33975.32,37.44,4.65,89.28,59566.31,49.39,4.9,107.67,98545.05,82.02,5.11,111.11,182120.22,98.4,7.69,161.66,2012,Illinois
Year,13253.15,22.66,0.35,22.86,37185.89,40.17,0.58,64.89,58310.0,73.31,3.58,71.66,96880.39,85.44,4.17,110.54,242987.52,114.84,7.66,222.06,2012,Idaho
Year,10615.07,69.85,5.34,113.93,37788.73,108.11,5.02,114.28,63274.35,71.91,5.59,102.71,96461.27,133.57,5.88,73.41,223020.76,122.91,5.57,147.96,2012,Hawaii
Year,11639.29,23.55,2.78,55.96,34804.91,42.65,0.84,45.78,57370.66,54.27,5.46,109.48,94913.09,79.66,4.32,111.72,196369.42,114.17,5.29,141.17,2012,Georgia
Year,10118.43,32.74,3.11,61.77,35616.79,41.93,2.79,77.5,58229.62,47.86,3.3,86.21,96567.52,46.59,6.85,121.46,184170.91,102.23,6.22,123.88,2012,Florida
Year,6615.17,14.31,1.86,52.76,34613.6,101.96,1.23,115.39,,,,,100523.9,38.89,6.49,163.66,240550.93,247.83,2.85,88.78,2012,District of Columbia
Year,8888.68,9.8,6.22,132.73,28680.1,32.8,6.9,101.7,,,,,94680.2,116.2,6.15,109.04,197020.3,119.65,3.9,97.69,2012,Delaware
Year,9451.55,35.52,3.89,94.81,34819.52,26.53,4.71,88.36,59507.06,59.51,5.82,147.06,106927.7,82.39,8.76,148.35,185464.52,129.84,6.71,139.19,2012,Connecticut
Year,10839.26,19.74,2.51,52.13,36793.11,37.94,6.51,98.03,62494.25,47.74,1.65,83.05,97743.09,62.39,4.05,86.0,185875.49,133.28,3.96,92.26,2012,Colorado
Year,10651.99,34.21,3.1,77.49,34794.44,47.0,3.58,87.88,59510.15,63.2,4.38,89.84,97929.05,89.9,6.07,122.57,197274.58,124.69,7.17,149.78,2012,California
Year,,,,,,,,,,,,,,,,,,,,,2012,Arkansas
Year,13034.87,26.69,2.22,63.62,33595.61,59.02,4.73,109.62,58079.83,62.2,3.73,72.73,95699.15,69.37,2.57,78.5,200938.57,90.73,10.38,125.31,2012,Arizona
Year,8866.12,18.72,3.88,74.83,38786.6,30.76,8.31,85.43,60161.19,51.63,3.95,113.39,105454.87,91.52,8.34,145.92,168693.95,104.1,8.52,179.77,2012,Alaska
Year,14069.77,12.19,3.04,64.56,32017.17,40.73,1.34,40.72,59303.42,36.05,2.29,98.47,96946.68,52.27,4.89,67.99,175697.0,120.72,10.97,220.45,2012,Alabama
Year,13018.57,33.22,1.73,58.02,34272.24,45.45,4.44,83.49,58287.12,39.82,4.18,91.98,95300.62,41.74,6.31,92.91,174163.09,83.74,7.94,179.57,2011,Wisconsin
Year,11324.02,49.51,1.79,61.05,34019.32,37.35,3.97,89.09,57213.98,63.82,4.49,106.07,93322.0,74.3,4.35,95.2,188824.47,95.48,7.9,178.87,2011,Washington
Year,9816.01,25.91,2.79,75.46,34724.91,39.66,3.18,68.72,58038.15,38.05,3.54,68.84,90264.9,69.35,4.21,86.3,193109.49,126.96,8.32,193.11,2011,Virginia
Year,7818.78,33.52,1.66,65.1,35161.32,30.04,8.19,129.52,55882.14,66.87,6.27,137.79,94289.87,67.94,7.89,105.42,173822.37,72.5,9.1,190.57,2011,Utah
Year,11530.42,40.32,2.95,65.79,33682.51,52.44,3.4,85.28,58541.69,73.33,3.71,83.78,98396.42,78.65,4.34,83.57,175646.88,122.51,6.24,132.0,2011,Texas
Year,9231.39,16.16,1.83,41.14,33359.85,47.02,1.41,34.44,57315.37,68.85,3.84,119.63,99712.72,65.53,4.34,106.11,184269.4,22.22,0.71,182.28,2011,Tennessee
Year,,,,,,,,,,,,,,,,,,,,,2011,South Dakota
Year,11658.53,19.68,2.06,40.45,32160.86,31.68,2.94,70.35,60278.48,44.89,2.7,89.12,93454.8,66.42,7.57,140.1,169425.22,120.45,6.55,109.75,2011,South Carolina
Year,,,,,,,,,,,,,,,,,,,,,2011,Rhode Island
Year,10550.39,21.3,2.68,55.91,33309.66,32.99,3.35,63.46,58271.08,44.42,3.76,82.53,95486.53,65.7,5.26,101.61,191192.09,83.47,3.96,123.01,2011,Pennsylvania
Year,12468.35,30.47,2.05,56.16,33192.47,33.64,4.85,68.58,59002.04,86.97,5.51,106.9,96189.68,69.34,5.51,146.9,161725.47,80.36,13.98,173.58,2011,Oregon
Year,,,,,,,,,,,,,,,,,,,,,2011,Oklahoma
Year,11231.12,26.04,3.08,65.38,33569.94,33.67,3.75,59.05,58959.06,64.49,3.57,81.13,95014.02,81.45,4.69,81.02,174228.56,67.1,5.32,143.25,2011,Ohio
Year,,,,,,,,,,,,,,,,,,,,,2011,North Carolina
Year,9350.37,24.42,3.14,48.51,32828.02,38.57,3.24,71.73,58911.54,45.08,5.41,94.79,96334.03,152.94,7.18,121.16,185798.8,125.91,4.3,122.43,2011,New York
Year,11276.58,31.94,3.65,48.23,33367.33,56.59,4.19,93.03,57763.96,44.25,3.6,77.66,95911.68,60.91,5.78,117.02,188716.6,132.98,7.54,158.89,2011,New Jersey
Year,6677.69,25.41,0.82,69.56,32248.33,26.92,4.08,79.21,55425.67,8.27,8.92,164.9,92149.44,21.78,6.17,137.86,179721.87,148.32,2.84,88.63,2011,New Hampshire
Year,10941.53,14.17,4.54,56.14,33170.71,49.2,4.89,114.84,55066.07,78.17,3.8,74.18,94324.71,92.87,3.76,108.89,163029.6,94.36,3.87,122.08,2011,Nevada
Year,9681.88,18.71,4.18,41.23,36374.04,28.03,4.82,84.92,61452.78,42.27,3.87,91.26,93768.64,50.3,3.35,94.02,207833.6,69.08,1.84,196.11,2011,Nebraska
Year,,,,,,,,,,,,,,,,,,,,,2011,Montana
Year,11100.11,29.38,2.09,42.41,32828.91,33.59,5.81,97.15,60920.94,49.03,1.79,69.11,92385.58,105.51,4.48,211.91,179625.07,90.45,5.11,161.61,2011,Missouri
Year,,,,,,,,,,,,,,,,,,,,,2011,Mississippi
Year,10440.06,24.36,4.22,39.25,32019.52,36.07,4.52,78.06,60265.44,46.67,3.63,112.02,95056.07,68.28,9.22,147.1,164785.97,77.71,12.32,158.9,2011,Minnesota
Year,11396.94,16.45,3.38,72.12,33633.52,44.83,4.37,88.13,58966.25,41.65,2.89,86.94,90350.02,55.96,4.89,131.17,196561.42,53.64,6.18,183.06,2011,Michigan
Year,11559.26,25.36,3.25,59.47,32775.11,31.77,6.55,143.52,61353.69,68.72,4.99,123.64,96637.28,153.09,6.83,151.98,200297.03,112.29,7.93,176.45,2011,Massachuse
Year,11139.55,27.44,5.95,88.11,35591.18,46.22,4.46,88.65,57529.62,62.35,6.11,67.39,97286.48,117.73,5.94,111.28,190613.9,78.43,5.43,147.89,2011,Maryland
Year,7812.51,20.47,4.97,82.02,30006.45,29.76,2.53,104.51,60518.14,38.48,3.3,115.47,95698.47,94.99,3.01,110.73,171049.8,125.65,29.92,225.26,2011,Maine
Year,8836.85,26.73,2.31,47.92,32757.31,55.65,3.05,69.9,59752.73,71.39,4.29,73.58,95482.58,87.17,3.69,91.26,213912.31,90.74,0.78,39.83,2011,Louisiana
Year,10327.22,19.89,3.03,72.17,32613.84,37.33,3.7,88.11,58989.14,95.54,4.17,135.66,90108.39,70.63,4.36,97.38,157968.2,74.4,2.03,94.12,2011,Kentucky
Year,12500.0,102.84,0.0,32.78,34263.54,30.63,5.12,80.81,50002.5,86.56,5.11,195.03,98145.14,94.54,4.97,102.91,177832.4,78.03,7.28,167.26,2011,Kansas
Year,,,,,,,,,,,,,,,,,,,,,2011,Iowa
Year,9082.5,15.78,2.74,73.84,33436.8,23.88,2.45,47.69,59303.6,55.38,2.55,74.68,88138.6,76.68,3.61,102.06,183345.22,103.93,12.83,185.99,2011,Indiana
Year,12081.1,21.37,2.59,57.79,33171.84,47.22,2.92,74.11,57425.05,43.99,2.88,85.0,95351.37,79.24,5.89,126.01,191610.81,102.61,6.8,162.51,2011,Illinois
Year,11087.97,32.25,6.69,100.02,34999.58,59.25,2.52,83.04,57362.76,41.36,3.09,85.27,96182.25,43.61,12.09,107.79,199560.12,116.74,4.08,109.54,2011,Idaho
Year,9828.48,28.88,5.86,108.94,33383.96,94.07,10.91,147.91,56368.53,76.14,5.09,108.58,92959.97,125.23,4.67,101.35,223998.5,182.56,10.25,150.98,2011,Hawaii
Year,8475.23,21.27,2.22,42.89,33320.49,34.61,3.14,57.83,55990.88,39.19,2.27,70.71,91236.16,54.5,5.03,93.52,176252.12,107.91,4.69,110.95,2011,Georgia
Year,11563.4,22.82,3.04,59.07,33111.23,37.9,2.62,67.16,57231.12,49.39,3.4,77.62,95305.36,72.45,3.88,103.99,193618.48,78.8,4.97,150.19,2011,Florida
Year,8467.33,8.97,1.34,24.63,30000.0,5.17,5.17,96.12,59340.5,15.88,5.76,21.28,,,,,129821.2,361.97,6.9,167.69,2011,District of Columbia
Year,7643.9,11.46,2.58,183.18,37614.2,34.78,1.74,63.88,61961.6,38.67,3.45,115.04,99566.67,113.81,11.76,190.92,173380.7,93.46,10.74,166.4,2011,Delaware
Year,10437.83,45.1,3.36,88.52,31906.92,67.86,8.0,148.22,59248.46,24.18,4.3,64.39,90991.27,63.6,8.67,127.76,208874.74,80.73,11.64,218.95,2011,Connecticut
Year,11497.83,32.26,2.45,64.61,30466.86,18.48,4.09,94.69,56814.12,38.63,2.64,65.82,95624.87,77.13,7.87,123.91,166833.58,152.45,7.37,131.19,2011,Colorado
Year,10223.93,33.98,3.12,70.3,34004.0,51.25,3.2,75.31,57794.51,56.72,4.14,93.37,94207.17,99.29,5.0,114.14,189282.94,117.42,5.83,114.11,2011,California
Year,,,,,,,,,,,,,,,,,,,,,2011,Arkansas
Year,10295.66,37.33,2.7,74.14,30502.9,38.02,4.09,86.71,58226.76,48.48,6.93,93.78,94087.93,75.59,4.34,105.43,191077.24,78.48,8.08,199.97,2011,Arizona
Year,10126.93,35.12,2.21,64.26,35426.79,44.07,4.98,100.66,57330.82,60.32,1.12,64.12,95816.73,98.07,8.07,156.65,175062.43,97.83,5.72,139.98,2011,Alaska
Year,10412.95,11.45,1.51,51.22,34073.22,30.05,3.73,83.75,63556.58,72.85,3.9,110.16,96501.49,55.67,4.26,86.03,169296.92,94.45,9.61,100.13,2011,Alabama
Year,12107.02,21.52,2.75,60.34,32731.79,32.48,3.0,79.27,57527.28,55.82,3.23,83.81,90701.16,84.76,3.78,70.34,212962.9,94.81,5.64,123.63,2010,Wisconsin
Year,9048.73,30.11,4.09,48.79,33015.21,37.13,2.64,60.5,57544.25,62.23,3.42,73.31,95603.82,77.84,3.94,94.46,209962.62,88.73,7.87,109.3,2010,Washington
Year,10237.52,17.55,2.24,49.72,32075.43,30.77,2.25,70.68,54352.15,54.92,4.72,83.83,91987.43,69.54,4.04,108.87,211781.7,102.03,6.86,158.17,2010,Virginia
Year,10836.28,26.01,1.7,58.57,31402.15,59.61,7.17,132.97,57224.33,58.06,7.61,128.39,89356.12,60.88,9.1,142.94,151057.55,211.37,11.84,197.49,2010,Utah
Year,9077.22,33.34,2.44,57.33,32661.11,53.14,3.38,75.98,56970.7,60.58,3.21,75.89,91457.9,86.41,4.04,84.56,187926.4,124.17,5.95,118.14,2010,Texas
Year,11347.22,32.11,1.85,39.11,31250.12,29.33,4.13,55.25,52406.06,51.81,5.98,111.56,100889.05,138.67,5.95,106.85,239424.84,126.24,4.56,185.78,2010,Tennessee
Year,,,,,,,,,,,,,,,,,,,,,2010,South Dakota
Year,10618.11,16.22,2.24,40.9,33136.59,46.06,3.15,66.68,58830.12,57.17,3.58,92.4,91439.37,86.66,6.91,111.15,203350.13,76.72,3.56,78.49,2010,South Carolina
Year,,,,,,,,,,,,,,,,,,,,,2010,Rhode Island
Year,10553.52,22.72,1.84,47.49,32963.36,41.15,3.29,68.11,56137.53,48.8,3.42,83.64,89002.3,63.72,3.33,79.85,182797.46,107.48,4.52,132.07,2010,Pennsylvania
Year,11393.36,37.65,2.62,83.2,32690.92,42.77,3.53,89.93,56396.26,56.73,3.13,74.08,90536.59,67.4,10.04,152.81,145840.6,80.31,5.37,161.87,2010,Oregon
Year,,,,,,,,,,,,,,,,,,,,,2010,Oklahoma
Year,10851.92,32.66,2.64,48.9,34068.31,42.99,5.79,89.39,57477.37,75.62,2.93,58.78,90295.27,38.44,3.68,86.69,174595.1,97.92,12.72,171.13,2010,Ohio
Year,,,,,,,,,,,,,,,,,,,,,2010,North Carolina
Year,9816.88,26.99,4.78,58.31,32479.62,43.17,4.19,74.11,57248.69,44.55,4.58,88.59,90971.16,68.85,4.31,86.71,231566.28,206.02,6.9,150.44,2010,New York
Year,10344.99,21.39,2.31,50.93,32477.59,39.29,4.23,74.14,57446.25,55.16,5.01,101.45,91219.6,80.06,4.85,116.4,219878.15,109.06,6.45,146.55,2010,New Jersey
Year,11480.9,1.36,0.89,7.95,41000.0,0.0,8.39,178.04,57850.03,40.74,8.4,136.31,85586.02,44.22,9.75,129.72,240731.51,73.25,8.76,199.49,2010,New Hampshire
Year,9558.0,41.28,4.54,83.51,32625.53,45.16,2.82,63.47,55679.32,31.4,2.16,51.88,93090.45,94.81,11.08,228.81,124726.0,102.0,2.4,72.96,2010,Nevada
Year,7701.73,30.89,1.98,52.45,32002.1,40.32,2.56,64.45,55238.98,19.34,2.6,57.71,88364.26,49.32,1.33,55.99,126947.6,121.35,4.75,57.04,2010,Nebraska
Year,,,,,,,,,,,,,,,,,,,,,2010,Montana
